id,name,neighbourhood_group_cleansed,neighbourhood_cleansed,room_type,price_num,availability_365,reviews_per_month,number_of_reviews,ghost_prob
1459691291641299200,Entire Place _Serene Sunny Huge Modern 3BR,Brooklyn,Bushwick,Entire home/apt,171,323,0.88,1,0.3312095108266023
1186895527783667200,Newly Renovated Studio Prime UES,Manhattan,Upper East Side,Entire home/apt,208,360,0.07,1,0.33118575213910634
52373813,Signature Lofty Studio in Prime Midtown Location,Manhattan,Midtown,Entire home/apt,421,6,0.02,1,0.33116127678627283
1416001993407159800,Fully renovated! Large 1BR Elevator BLDG  Midtown,Manhattan,Hell's Kitchen,Entire home/apt,240,157,1,1,0.33111340889301477
963880900259575600,433 West 53-Two Bed apartment,Manhattan,Hell's Kitchen,Entire home/apt,170,260,0.05,1,0.33083518937224965
1034127602506575100,Apartment in Brooklyn,Brooklyn,Bergen Beach,Entire home/apt,290,365,0.05,1,0.33082921492270007
847074245784350200,Subway1/A line. Easy Access to Midtown,Manhattan,Washington Heights,Private room,52,60,0.22,1,0.33077786551832666
670347356576318100,Newly Renovated Doorman Elevator 1-Bed in SoHo,Manhattan,Nolita,Entire home/apt,630,358,0.03,1,0.33054388337428886
53662451,ENTIRE MASSIVE LIGHT-FILLED APARTMENT IN  BROOKLYN,Brooklyn,Bedford-Stuyvesant,Entire home/apt,250,180,0.03,1,0.3305422961397875
1445661625541515500,Exclusive Apartment 125 | Shared Bathroom,Manhattan,Midtown,Entire home/apt,153,161,0.81,1,0.33041063283057026
89898645772208e4,Close to Target -  @Grand Ave,Queens,Elmhurst,Private room,47,54,0.12,1,0.3303945067526915
1492985201987596500,Spacious 3BR Brooklyn Stay•Quick Manhattan Access,Brooklyn,Bedford-Stuyvesant,Entire home/apt,208,344,1,1,0.3302838292744693
698451569987978800,A Hidden speakeasy style event venue. (Full venue),Brooklyn,Bedford-Stuyvesant,Entire home/apt,1250,365,0.05,2,0.33025858399365904
1261071280018778600,"Renovated, 2  BR1/Bath, Columbia Uni~Central Park",Manhattan,Morningside Heights,Entire home/apt,212,306,0.16,1,0.33016904730829033
